competition_id,competition_name,season_id,season_name
9,1. Bundesliga,281,2023/2024
9,1. Bundesliga,27,2015/2016
1267,African Cup of Nations,107,2023
16,Champions League,4,2018/2019
16,Champions League,1,2017/2018
16,Champions League,2,2016/2017
16,Champions League,27,2015/2016
16,Champions League,26,2014/2015
16,Champions League,25,2013/2014
16,Champions League,24,2012/2013
16,Champions League,23,2011/2012
16,Champions League,22,2010/2011
16,Champions League,21,2009/2010
16,Champions League,41,2008/2009
16,Champions League,39,2006/2007
16,Champions League,37,2004/2005
16,Champions League,44,2003/2004
16,Champions League,76,1999/2000
16,Champions League,277,1972/1973
16,Champions League,71,1971/1972
16,Champions League,276,1970/1971
223,Copa America,282,2024
87,Copa del Rey,84,1983/1984
87,Copa del Rey,268,1982/1983
87,Copa del Rey,279,1977/1978
37,FA Women's Super League,90,2020/2021
37,FA Women's Super League,42,2019/2020
37,FA Women's Super League,4,2018/2019
1470,FIFA U20 World Cup,274,1979
43,FIFA World Cup,106,2022
43,FIFA World Cup,3,2018
43,FIFA World Cup,55,1990
43,FIFA World Cup,54,1986
43,FIFA World Cup,51,1974
43,FIFA World Cup,272,1970
43,FIFA World Cup,270,1962
43,FIFA World Cup,269,1958
1238,Indian Super league,108,2021/2022
11,La Liga,90,2020/2021
11,La Liga,42,2019/2020
11,La Liga,4,2018/2019
11,La Liga,1,2017/2018
11,La Liga,2,2016/2017
11,La Liga,27,2015/2016
11,La Liga,26,2014/2015
11,La Liga,25,2013/2014
11,La Liga,24,2012/2013
11,La Liga,23,2011/2012
11,La Liga,22,2010/2011
11,La Liga,21,2009/2010
11,La Liga,41,2008/2009
11,La Liga,40,2007/2008
11,La Liga,39,2006/2007
11,La Liga,38,2005/2006
11,La Liga,37,2004/2005
11,La Liga,278,1973/1974
81,Liga Profesional,48,1997/1998
81,Liga Profesional,275,1981
7,Ligue 1,235,2022/2023
7,Ligue 1,108,2021/2022
7,Ligue 1,27,2015/2016
44,Major League Soccer,107,2023
116,North American League,68,1977
49,NWSL,3,2018
2,Premier League,27,2015/2016
2,Premier League,44,2003/2004
12,Serie A,27,2015/2016
12,Serie A,86,1986/1987
55,UEFA Euro,282,2024
55,UEFA Euro,43,2020
35,UEFA Europa League,75,1988/1989
53,UEFA Women's Euro,106,2022
72,Women's World Cup,107,2023
72,Women's World Cup,30,2019
